,0.066,-0.77,0.664
1198,0.219,-0.656,0.73
1199,0.223,-0.648,0.684
1200,0.219,-0.637,0.66
1201,0.211,-0.621,0.652
1202,0.207,-0.605,0.652
1203,0.215,-0.598,0.652
1204,0.211,-0.609,0.648
1205,0.215,-0.625,0.652
1206,0.207,-0.633,0.648
1207,0.195,-0.637,0.656
1208,0.195,-0.672,0.668
1209,0.199,-0.711,0.664
1210,0.211,-0.746,0.66
1211,0.215,-0.781,0.66
1212,0.223,-0.809,0.652
1213,0.223,-0.813,0.633
1214,0.223,-0.813,0.625
1215,0.234,-0.797,0.609
1216,0.242,-0.77,0.605
1217,0.242,-0.762,0.605
1218,0.234,-0.734,0.598
1219,0.215,-0.703,0.609
1220,0.16,-0.699,0.633
1221,0.117,-0.719,0.652
1222,0.109,-0.73,0.652
1223,0.133,-0.73,0.66
1224,0.16,-0.699,0.676
1225,0.176,-0.66,0.68
1226,0.188,-0.609,0.68
1227,0.172,-0.547,0.664
1228,0.164,-0.5,0.656
1229,0.16,-0.469,0.645
1230,0.172,-0.512,0.625
1231,0.172,-0.695,0.602
1232,0.094,-0.953,0.578
1233,-0.09,-1.063,0.605
1234,-0.277,-1.035,0.691
1235,-0.301,-0.91,0.793
1236,-0.184,-0.805,0.926
1237,0.004,-0.789,1.031
1238,0.117,-0.793,1.07
1239,0.086,-0.82,1.078
1240,-0.004,-0.848,1.074
1241,-0.063,-0.855,1.051
1242,-0.07,-0.832,1.027
1243,-0.059,-0.762,1.016
1244,-0.055,-0.707,0.984
1245,-0.063,-0.68,0.926
1246,-0.059,-0.672,0.859
1247,-0.039,-0.664,0.809
1248,-0.012,-0.645,0.77
1249,0.012,-0.625,0.73
1250,0.012,-0.605,0.699
1251,0.004,-0.605,0.676
1252,-0.008,-0.625,0.656
1253,-0.02,-0.629,0.641
1254,-0.039,-0.633,0.645
1255,-0.039,-0.645,0.652
1256,-0.051,-0.656,0.652
1257,-0.051,-0.664,0.652
1258,-0.051,-0.668,0.656
1259,-0.043,-0.668,0.66
1260,-0.043,-0.676,0.664
1261,-0.047,-0.691,0.668
1262,-0.047,-0.707,0.676
1263,-0.051,-0.727,0.68
1264,-0.047,-0.734,0.676
1265,-0.043,-0.734,0.676
1266,-0.051,-0.73,0.664
1267,-0.055,-0.73,0.648
1268,-0.055,-0.734,0.633
1269,-0.07,-0.742,0.617
1270,-0.082,-0.742,0.598
1271,-0.09,-0.73,0.594
1272,-0.098,-0.727,0.594
1273,-0.105,-0.734,0.594
1274,-0.098,-0.746,0.594
1275,-0.098,-0.75,0.602
1276,-0.094,-0.75,0.621
1277,-0.086,-0.742,0.652
1278,-0.059,-0.738,0.684
1279,-0.039,-0.766,0.707
1280,-0.023,-0.785,0.738
1281,-0.012,-0.801,0.754
1282,0.004,-0.773,0.754
