x_acc,y_acc,z_acc
0.422,-0.66,0.789
0.414,-0.578,0.797
0.406,-0.566,0.809
0.41,-0.617,0.805
0.406,-0.703,0.801
0.387,-0.793,0.805
0.371,-0.832,0.813
0.355,-0.793,0.805
0.344,-0.73,0.801
0.313,-0.633,0.797
0.277,-0.551,0.793
0.254,-0.504,0.777
0.238,-0.496,0.742
0.211,-0.523,0.695
0.199,-0.559,0.66
0.203,-0.578,0.629
0.211,-0.586,0.602
0.227,-0.586,0.582
0.238,-0.586,0.566
0.25,-0.586,0.551
0.25,-0.57,0.535
0.246,-0.563,0.527
0.238,-0.559,0.52
0.23,-0.543,0.512
0.223,-0.531,0.512
0.219,-0.523,0.52
0.215,-0.531,0.52
0.219,-0.539,0.523
0.227,-0.555,0.527
0.238,-0.57,0.523
0.242,-0.578,0.527
0.25,-0.59,0.527
0.262,-0.598,0.531
0.27,-0.609,0.531
0.273,-0.617,0.531
0.273,-0.629,0.531
0.277,-0.637,0.539
0.277,-0.656,0.551
0.281,-0.672,0.574
0.281,-0.691,0.598
0.277,-0.707,0.617
0.27,-0.723,0.641
0.266,-0.727,0.664
0.262,-0.734,0.695
0.27,-0.75,0.723
0.289,-0.762,0.734
0.305,-0.766,0.75
0.328,-0.75,0.785
0.363,-0.746,0.824
0.391,-0.785,0.824
0.391,-0.836,0.809
0.367,-0.875,0.832
0.34,-0.898,0.887
0.34,-0.957,0.934
0.324,-1.043,0.934
0.289,-1.098,0.879
0.234,-1.074,0.813
0.176,-0.98,0.738
0.141,-0.871,0.688
0.125,-0.789,0.672
0.141,-0.75,0.668
0.168,-0.762,0.676
0.203,-0.801,0.68
0.211,-0.832,0.688
0.211,-0.848,0.707
0.188,-0.832,0.723
0.152,-0.797,0.727
0.121,-0.762,0.727
0.094,-0.742,0.73
0.074,-0.711,0.727
0.066,-0.684,0.719
0.074,-0.648,0.688
0.082,-0.621,0.66
0.086,-0.602,0.629
0.09,-0.594,0.605
0.102,-0.598,0.578
0.113,-0.609,0.559
0.113,-0.629,0.539
0.113,-0.648,0.52
0.098,-0.66,0.504
0.09,-0.664,0.496
0.078,-0.648,0.496
0.074,-0.637,0.5
0.078,-0.617,0.508
0.098,-0.605,0.52
0.117,-0.602,0.527
0.137,-0.598,0.527
0.148,-0.602,0.535
0.145,-0.602,0.543
0.137,-0.605,0.547
0.133,-0.617,0.555
0.129,-0.625,0.559
0.133,-0.633,0.559
0.137,-0.641,0.57
0.141,-0.652,0.578
0.137,-0.672,0.582
0.145,-0.688,0.598
0.145,-0.707,0.605
0.148,-0.711,0.621
0.16,-0.715,0.637
0.176,-0.723,0.641
0.188,-0.727,0.648
0.191,-0.734,0.68
0.195,-0.758,0.727
0.199,-0.809,0.762
0.199,-0.855,0.762
0.188,-0.859,0.773
0.164,-0.82,0.82
0.156,-0.797,0.914
0.199,-0.852,1.035
0.297,-1.008,1.094
0.41,-1.164,1.098
0.48,-1.211,1.094
0.488,-1.148,1.051
0.469,-1.023,0.973
0.426,-0.867,0.891
0.371,-0.734,0.828
0.313,-0.625,0.793
0.262,-0.555,0.773
0.219,-0.543,0.766
0.199,-0.594,0.762
0.199,-0.699,0.754
0.223,-0.801,0.734
0.242,-0.836,0.715
0.262,-0.777,0.73
0.285,-0.676,0.73
0.297,-0.574,0.754
0.293,-0.516,0.773
0.289,-0.496,0.781
0.289,-0.504,0.777
0.281,-0.535,0.754
0.273,-0.563,0.727
0.27,-0.578,0.691
0.277,-0.582,0.656
0.293,-0.57,0.629
0.297,-0.555,0.609
0.293,-0.543,0.582
0.289,-0.539,0.559
0.281,-0.535,0.535
0.277,-0.527,0.523
0.266,-0.527,0.52
0.254,-0.535,0.508
0.246,-0.535,0.504
0.242,-0.539,0.5
0.238,-0.543,0.5
0.242,-0.551,0.5
0.258,-0.551,0.5
0.27,-0.555,0.5
0.281,-0.559,0.5
0.293,-0.563,0.512
0.297,-0.578,0.52
0.301,-0.59,0.52
0.309,-0.602,0.527
0.309,-0.609,0.531
0.313,-0.609,0.547
0.32,-0.625,0.574
0.324,-0.637,0.605
0.328,-0.66,0.629
0.324,-0.691,0.648
0.313,-0.719,0.664
0.297,-0.73,0.695
0.285,-0.754,0.742
0.289,-0.801,0.777
0.289,-0.836,0.789
0.301,-0.82,0.813
0.309,-0.77,0.836
0.324,-0.734,0.852
0.34,-0.738,0.855
0.344,-0.773,0.867
0.34,-0.824,0.906
0.348,-0.906,0.949
0.352,-1.012,0.949
0.34,-1.082,0.906
0.289,-1.066,0.824
0.227,-0.965,0.758
0.164,-0.844,0.719
0.125,-0.742,0.715
0.121,-0.699,0.742
0.152,-0.734,0.754
0.188,-0.797,0.758
0.207,-0.828,0.77
0.203,-0.813,0.785
0.176,-0.773,0.805
0.133,-0.75,0.805
0.102,-0.742,0.801
0.074,-0.742,0.797
0.066,-0.734,0.785
0.07,-0.711,0.754
0.082,-0.68,0.711
0.098,-0.645,0.676
0.109,-0.617,0.648
0.117,-0.602,0.617
0.125,-0.602,0.586
0.133,-0.602,0.559
0.129,-0.609,0.535
0.125,-0.609,0.527
0.109,-0.605,0.512
0.098,-0.602,0.504
0.082,-0.598,0.492
0.066,-0.578,0.492
0.063,-0.57,0.5
0.066,-0.566,0.512
0.082,-0.57,0.523
0.098,-0.574,0.527
0.109,-0.59,0.531
0.121,-0.602,0.551
0.125,-0.621,0.555
0.121,-0.633,0.559
0.117,-0.648,0.563
0.117,-0.652,0.574
0.113,-0.652,0.578
0.113,-0.66,0.586
0.109,-0.66,0.594
0.098,-0.664,0.605
0.109,-0.672,0.613
0.125,-0.672,0.625
0.145,-0.684,0.641
0.172,-0.695,0.648
0.203,-0.711,0.668
0.227,-0.742,0.703
0.242,-0.777,0.742
0.254,-0.813,0.766
0.25,-0.828,0.77
0.219,-0.809,0.773
0.191,-0.758,0.797
0.168,-0.727,0.828
0.172,-0.734,0.848
0.195,-0.789,0.883
0.238,-0.875,0.938
0.297,-0.984,0.98
0.359,-1.105,0.996
0.406,-1.18,0.973
0.441,-1.145,0.922
0.457,-1.035,0.879
0.461,-0.906,0.828
0.438,-0.785,0.793
0.398,-0.695,0.785
0.348,-0.633,0.793
0.305,-0.605,0.793
0.273,-0.629,0.797
0.258,-0.691,0.809
0.262,-0.762,0.816
0.273,-0.777,0.805
0.277,-0.742,0.797
0.273,-0.66,0.789
0.258,-0.57,0.773
0.246,-0.496,0.766
0.242,-0.457,0.75
0.238,-0.465,0.73
0.246,-0.5,0.699
0.258,-0.539,0.672
0.273,-0.57,0.645
0.293,-0.586,0.617
0.305,-0.574,0.586
0.309,-0.547,0.578
0.309,-0.539,0.57
0.293,-0.539,0.551
0.281,-0.535,0.539
0.277,-0.527,0.535
0.273,-0.516,0.531
0.273,-0.512,0.535
0.27,-0.508,0.527
0.27,-0.516,0.531
0.262,-0.527,0.535
0.27,-0.539,0.539
0.277,-0.551,0.543
0.289,-0.555,0.539
0.297,-0.559,0.551
0.301,-0.559,0.547
0.305,-0.566,0.551
0.313,-0.57,0.547
0.324,-0.574,0.551
0.34,-0.578,0.563
0.348,-0.582,0.57
0.352,-0.594,0.582
0.355,-0.617,0.598
0.359,-0.641,0.617
0.363,-0.672,0.625
0.355,-0.699,0.637
0.344,-0.723,0.656
0.336,-0.746,0.703
0.34,-0.777,0.742
0.352,-0.809,0.75
0.363,-0.805,0.738
0.375,-0.727,0.758
0.398,-0.648,0.813
0.434,-0.648,0.852
0.445,-0.723,0.832
0.41,-0.801,0.832
0.359,-0.859,0.906
0.344,-0.93,0.973
0.34,-1.023,0.965
0.313,-1.098,0.898
0.254,-1.07,0.82
0.176,-0.953,0.75
0.113,-0.816,0.703
0.086,-0.727,0.707
0.09,-0.711,0.727
0.117,-0.762,0.73
0.145,-0.844,0.738
0.16,-0.91,0.754
0.145,-0.926,0.758
0.109,-0.891,0.777
0.074,-0.832,0.785
0.047,-0.789,0.789
0.031,-0.754,0.777
0.031,-0.723,0.762
0.051,-0.68,0.73
0.07,-0.648,0.695
0.082,-0.617,0.66
0.086,-0.602,0.633
0.102,-0.602,0.605
0.117,-0.605,0.582
0.117,-0.629,0.566
